id,last_fcd_time,depart,time_in_network
bus_4991,3598.0,3593.52,4.480000000000018
car_4985,3598.0,3589.2,8.800000000000182
motorcycle_4980,3598.0,3585.6,12.400000000000091
bus_4582,3598.0,3299.04,298.96000000000004
truck_4565,3598.0,3286.8,311.1999999999998
bus_4531,3598.0,3262.32,335.67999999999984
motorcycle_4525,3598.0,3258.0,340.0
bus_4505,3598.0,3243.6,354.4000000000001
car_4491,3598.0,3233.52,364.48
truck_4485,3598.0,3229.2,368.8000000000002
motorcycle_4482,3598.0,3227.04,370.96000000000004
truck_4480,3598.0,3225.6,372.4000000000001
bus_4477,3598.0,3223.44,374.55999999999995
truck_4462,3598.0,3212.64,385.3600000000001
motorcycle_4442,3598.0,3198.24,399.7600000000002
bus_4431,3598.0,3190.32,407.67999999999984
bus_2757,3598.0,1985.04,1612.96
motorcycle_2748,3598.0,1978.56,1619.44
bus_2728,3598.0,1964.16,1633.84
motorcycle_2725,3598.0,1962.0,1636.0
car_2722,3598.0,1959.84,1638.16
motorcycle_2711,3598.0,1951.92,1646.08
car_2700,3598.0,1944.0,1654.0
bus_2680,3598.0,1929.6,1668.4
car_2671,3598.0,1923.12,1674.88
car_2665,3598.0,1918.8,1679.2
